dir_up,dir_down,dir_left,dir_right,danger_straight,danger_left,danger_right,dx_food,dy_food,action
0,0,0,1,0,0,0,-0.575,-0.034482758620689655,0
0,0,0,1,0,0,0,-0.6,-0.034482758620689655,1
1,0,0,0,0,0,0,-0.6,0.0,0
1,0,0,0,0,0,0,-0.6,0.034482758620689655,0
1,0,0,0,0,0,0,-0.6,0.06896551724137931,1
0,0,1,0,0,0,0,-0.575,0.06896551724137931,0
0,0,1,0,0,0,0,-0.55,0.06896551724137931,0
0,0,1,0,0,0,0,-0.525,0.06896551724137931,0
0,0,1,0,0,0,0,-0.5,0.06896551724137931,0
0,0,1,0,0,0,0,-0.475,0.06896551724137931,0
0,0,1,0,0,0,0,-0.45,0.06896551724137931,1
0,1,0,0,0,0,0,-0.45,0.034482758620689655,2
0,0,1,0,0,0,0,-0.425,0.034482758620689655,0
0,0,1,0,0,0,0,-0.4,0.034482758620689655,0
0,0,1,0,0,0,0,-0.375,0.034482758620689655,0
0,0,1,0,0,0,0,-0.35,0.034482758620689655,1
0,1,0,0,0,0,0,-0.35,0.0,2
